Type,Title,Authors,Year,Venue,Abstract,Url,Author_Ids,Scholar_Url,Citations
Publication,Leadership team coaching: Developing collective transformational leadership,['P Hawkins'],,NA,,,[''],/scholar?hl=en&q=info:Ynf6x6xTWQsJ:scholar.google.com/&output=cite&scirp=10&hl=en,336
Publication,Scaling lean & agile development: thinking and organizational tools for large-scale Scrum,['C Larman'],,NA,,,[''],/scholar?hl=en&q=info:x3hJ1HTdZWgJ:scholar.google.com/&output=cite&scirp=11&hl=en,321
Publication,Interprofessional collaborative practice and relational coordination: improving healthcare through relationships,"['JH Gittell', 'M Godfrey', 'J Thistlethwaite']",,Journal of interprofessional …,Interprofessional collaborative practice (IPCP) and relational coordination (RC) are two concepts with much in common. IPCP is a concept that is familiar to many readers of this,https://www.tandfonline.com/doi/full/10.3109/13561820.2012.730564,"['_DsB4dEAAAAJ', '', '_lbjY-0AAAAJ']",/scholar?hl=en&q=info:sfW0vG7KEEoJ:scholar.google.com/&output=cite&scirp=12&hl=en,307
Publication,The changing face of world missions: Engaging contemporary issues and trends,"['M Pocock', 'G Van Rheenen', 'D McConnell']",,NA,Discover trends that are changing the shape of world missions. Dramatic changes have taken place both in global society and in the church that have implications for how the,https://books.google.com/books?hl=en&lr=&id=hSlUS36w6dcC&oi=fnd&pg=PA7&ots=SadgGJ01EW&sig=9W6FDtki9TwKtpmbkGX68_MjYvI,"['', '', '']",/scholar?hl=en&q=info:hjaBLRNZKggJ:scholar.google.com/&output=cite&scirp=13&hl=en,296
Publication,The culture code: The secrets of highly successful groups,['D Coyle'],,NA,,,[''],/scholar?hl=en&q=info:WGJTeLGyhnkJ:scholar.google.com/&output=cite&scirp=14&hl=en,314
Publication,The changing ecology of teams: New directions for teams research,"['R Wageman', 'H Gardner']",,Journal of Organizational …,"The nature of collaboration has been changing at an accelerating pace, particularly in the last decade. Much of the published work in teams research, however, is still focused on the",https://onlinelibrary.wiley.com/doi/abs/10.1002/job.1775,"['', '']",/scholar?hl=en&q=info:UBq2jvTZA0kJ:scholar.google.com/&output=cite&scirp=15&hl=en,286
Publication,Communicating for results: A guide for business and the professions,['C Hamilton'],,NA,"This best-selling text will show you the basic concepts and techniques you need to successfully communicate in today's business world, regardless of your current level of",https://books.google.com/books?hl=en&lr=&id=beEWAAAAQBAJ&oi=fnd&pg=PR5&ots=kAuox6iH-f&sig=QuZuwqeJiZoAYDv5xW1xJt_xcG0,[''],/scholar?hl=en&q=info:4zkAraQsZ7MJ:scholar.google.com/&output=cite&scirp=16&hl=en,275
Publication,Microchimerism: an investigative frontier in autoimmunity and transplantation,"['KM Adams', 'JL Nelson']",,Jama,Recent studies indicate cells transfer between fetus and mother during pregnancy and can persist in both decades later. The presence within one individual of a small population of,https://jamanetwork.com/journals/jama/article-abstract/198282,"['tnnB8VYAAAAJ', '']",/scholar?hl=en&q=info:uh4i_s2XC0YJ:scholar.google.com/&output=cite&scirp=17&hl=en,250
Publication,LeadershipNext: Changing leaders in a changing culture,['E Gibbs'],,NA,,,[''],/scholar?hl=en&q=info:161yYIVJj-gJ:scholar.google.com/&output=cite&scirp=18&hl=en,249
Publication,Strategies for building effective virtual teams: Trust is key,"['RC Ford', 'RF Piccolo', 'LR Ford']",,Business Horizons,The impressive growth in web-mediated organizational relationships has created an escalating interest in how to manage virtual teams successfully. As organizations,https://www.sciencedirect.com/science/article/pii/S0007681316300866,"['uLUuZxcAAAAJ', 'KaVQxF4AAAAJ', '']",/scholar?hl=en&q=info:aFlPBChIexIJ:scholar.google.com/&output=cite&scirp=19&hl=en,266
Publication,The effect of workplace spirituality on team effectiveness,['JL Daniel'],,Journal of management development,Purpose–The purpose of this paper is to present a theoretical model aimed at understanding the impact that workplace spirituality (WS) has on team effectiveness. Design/methodology,https://www.emerald.com/insight/content/doi/10.1108/02621711011039213/full/html,['E7jz9aIAAAAJ'],/scholar?hl=en&q=info:gy__10-t5KkJ:scholar.google.com/&output=cite&scirp=20&hl=en,240
Publication,Diversity consciousness,['RD Bucher'],,"Upper Saddle River, NJ","Diversity Consciousness (Student Success 2015 Copyright Series) Page 1 Page 2 Diversity  Consciousness Opening Our Minds to People, Cultures, and Opportunities Fourth Edition",https://pdfuni.com/sample/PoliticsSociology/PS401-500/PS477/sample%EF%BC%8DDiversity%20Consciousness%204th%204E%20Richard%20Bucher.pdf,[''],/scholar?hl=en&q=info:BtoNKqsogCQJ:scholar.google.com/&output=cite&scirp=21&hl=en,225
Publication,Global church planting: Biblical principles and best practices for multiplication,"['C Ott', 'G Wilson']",,NA,"With nearly fifty years combined global church-planting experience, Craig Ott and Gene Wilson are well qualified to write a comprehensive, up-to-date guide for cross-cultural",https://books.google.com/books?hl=en&lr=&id=9fJ8ucdqg6IC&oi=fnd&pg=PT7&ots=022rq1bSsG&sig=blCNreGwwl7CISEHvx6nBIjn8A8,"['', '']",/scholar?hl=en&q=info:zpUKiAzyM8kJ:scholar.google.com/&output=cite&scirp=22&hl=en,204
Publication,From every direction—How personality traits and dimensions of project managers can conceptually affect project success,"['T Creasy', 'VS Anantatmula']",,Project Management Journal,"Based on extensive literature review, this theoretical paper adds to the “soft skill” research stream by enlarging the scope of personality dimensions and their subsequent effects on",https://onlinelibrary.wiley.com/doi/abs/10.1002/pmj.21372,"['MLa0MysAAAAJ', 'Y6pAGQEAAAAJ']",/scholar?hl=en&q=info:PudV8B6YJ5EJ:scholar.google.com/&output=cite&scirp=23&hl=en,198
Publication,"The role of brand communications on front line service employee beliefs, behaviors, and performance","['TL Baker', 'A Rapp', 'T Meyer', 'R Mullins']",,Journal of the academy of …,"Frontline service employees often vary in their delivery of the brand promise, leaving service firms with less direct control on other stakeholders' brand perceptions. Internal branding",https://link.springer.com/article/10.1007/s11747-014-0376-7,"['5Qviur4AAAAJ', 'M5HO6yYAAAAJ', 'ZrAOXyUAAAAJ', 'hpfcZQ0AAAAJ']",/scholar?hl=en&q=info:7cX--jc_3o4J:scholar.google.com/&output=cite&scirp=24&hl=en,170
Publication,A guide to effective school leadership theories,['M Lynch'],,NA,Educational administrators know that leadership requires hundreds of judgments each day that require a sensitivity and understanding of various leadership strategies. Bridging the,https://www.taylorfrancis.com/books/mono/10.4324/9780203181010/guide-effective-school-leadership-theories-matthew-lynch,[''],/scholar?hl=en&q=info:0XaStOoRi-IJ:scholar.google.com/&output=cite&scirp=25&hl=en,168
Publication,Virtue ethics in business and the capabilities approach,['A Bertland'],,Journal of Business Ethics,"Recently, Amartya Sen and Martha Nussbaum have developed the capabilities approach to provide a model for understanding the effectiveness of programs to help the",https://link.springer.com/article/10.1007/s10551-008-9686-3,[''],/scholar?hl=en&q=info:QAZ4I9bHoicJ:scholar.google.com/&output=cite&scirp=26&hl=en,157
Publication,Leadership and organizational culture transformation in professional sport,['J Frontiera'],,Journal of Leadership & Organizational Studies,"Organizational culture has long been recognized as a critical component that can facilitate high performance in business (Balthazard, Cooke, & Potter, 2006). The purpose of this",https://journals.sagepub.com/doi/abs/10.1177/1548051809345253,[''],/scholar?hl=en&q=info:IvC_RcflMOwJ:scholar.google.com/&output=cite&scirp=27&hl=en,153
Publication,The lean product development guidebook: everything your design team needs to improve efficiency and slash time-to-market,['R Mascitelli'],,NA,"Describes over two dozen powerful and practical methods for slashing waste and improving resourse utilization, spanning the full spectrum from inception to successful product launch",https://books.google.com/books?hl=en&lr=&id=IGR_Qr6tBo0C&oi=fnd&pg=PP7&ots=pEfu0vkard&sig=tpm325HH26YmBnDi5FKIeg8AWI8,[''],/scholar?hl=en&q=info:lC8biO8EKxYJ:scholar.google.com/&output=cite&scirp=28&hl=en,144
Publication,People factors in agile software development and project management,"['V Lalsing', 'S Kishnah', 'S Pudaruth']",,International Journal of Software …,"With the increasing popularity of Agile Methods, many software organisations are moving away from traditional methods to adopt Agile development methodologies. Instead of being",https://www.academia.edu/download/69832194/88b926a2ad5fcae29804af8490234902d07a.pdf,"['', 'CeCRbeAAAAAJ', 'ImBQ8eEAAAAJ']",/scholar?hl=en&q=info:6glrrgUyh88J:scholar.google.com/&output=cite&scirp=29&hl=en,137
Publication,Letting down the team? Social effects of team incentives,"['P Babcock', 'K Bedard', 'G Charness']",,Journal of the …,This paper estimates social effects of incentivizing people in teams. In three field experiments featuring exogenous team formation and opportunities for repeated social,https://academic.oup.com/jeea/article-abstract/13/5/841/2319791,"['', 'oSr17h8AAAAJ', 'C2P59v8AAAAJ']",/scholar?hl=en&q=info:12OxKVmXbkUJ:scholar.google.com/&output=cite&scirp=30&hl=en,134
Publication,Building a Professional Learning Community at Work TM: A Guide to the First Year,"['P Graham', 'WM Ferriter']",,NA,Get a play-by-play guide to implementing PLC concepts. Each chapter begins with a story focused on a particular challenge. A follow-up analysis of the story identifies the good,https://books.google.com/books?hl=en&lr=&id=BHYXBwAAQBAJ&oi=fnd&pg=PT15&ots=wx0352_SG5&sig=6fjovTpdUDnXJexvcFXRJZnUt2c,"['', '']",/scholar?hl=en&q=info:jzHJ0B_MpMAJ:scholar.google.com/&output=cite&scirp=31&hl=en,129
Publication,"Emotional intelligence: A practical review of models, measures, and applications.",['D Ackley'],,Consulting Psychology Journal: Practice and Research,"The concept of emotional intelligence (EQ) was introduced about 25 years ago, and over that time has evolved from a new scientific construct, to a popular fad, to a mainstay concept",https://psycnet.apa.org/record/2016-45865-001,[''],/scholar?hl=en&q=info:vnh5NG4x_EAJ:scholar.google.com/&output=cite&scirp=32&hl=en,130
Publication,Mastering leadership: An integrated framework for breakthrough performance and extraordinary business results,"['RJ Anderson', 'WA Adams']",,NA,"Is your leadership a competitive advantage, or is it costing you? How do you know? Are you developing your leadership effectiveness at the pace of change? For most leaders today",https://books.google.com/books?hl=en&lr=&id=N5svCgAAQBAJ&oi=fnd&pg=PR17&ots=0Ap5l29mHU&sig=1odfZAgGDqEso_BE-HHJPhYhjh8,"['', '']",/scholar?hl=en&q=info:Fczws9wR4O8J:scholar.google.com/&output=cite&scirp=33&hl=en,122
Publication,Agility and Discipline Made Easy: Practices from OpenUP and RUP,"['P Kroll', 'B MacIsaac']",,NA,""" The Japanese samurai Musashi wrote:'One can win with the long sword, and one can win with the short sword. Whatever the weapon, there is a time and situation in which it is",https://books.google.com/books?hl=en&lr=&id=xzU8aw4HiAsC&oi=fnd&pg=PT22&ots=v_DkfsXuW3&sig=J9LEA82zDzfTDplInUiv8_appiU,"['', '']",/scholar?hl=en&q=info:2RaZtBs-eicJ:scholar.google.com/&output=cite&scirp=34&hl=en,120
Publication,From management to leadership: Practical strategies for health care leaders,['J Manion'],,NA,""" I used to wonder why we have so many health care managers and so few health care leaders. If you are curious about the same thing--Jo Manion explains it all in this book.""",https://books.google.com/books?hl=en&lr=&id=o5xM6QkBH40C&oi=fnd&pg=PR7&ots=4B4lKQp6CM&sig=im8iC_0pKYqtk1gzhltejZV9Va0,[''],/scholar?hl=en&q=info:rSDk99T-W-AJ:scholar.google.com/&output=cite&scirp=35&hl=en,121
Publication,Complexity leadership theory,"['M Uhl-Bien', 'R Marion', 'B McKelvey']",,Complexity leadership,"Leadership models of the last century have been products of top-down, bureaucratic paradigms. These models are eminently effective for an economy premised on physical",https://books.google.com/books?hl=en&lr=&id=UvknDwAAQBAJ&oi=fnd&pg=PA185&ots=NWJsC3z6KZ&sig=cZMoNnBD_a2a15ac7CSEa86ls8U,"['', 'f0Bfv3kAAAAJ', '']",/scholar?hl=en&q=info:vnEA6267YbIJ:scholar.google.com/&output=cite&scirp=36&hl=en,116
Publication,Project governance: Implementing corporate governance and business ethics in nonprofit organizations,['PS Renz'],,NA,"Do you know where your investments go? How effective and accountable are the resources used in the international development? How can intercultural frictions, governance",https://books.google.com/books?hl=en&lr=&id=8GPUjWbtMpsC&oi=fnd&pg=PA1&ots=aWRP6NitoH&sig=tnJRzp9AN_52YJE7bmy8xnCraJ8,['cGu5Y10AAAAJ'],/scholar?hl=en&q=info:ufdfAGyKbTAJ:scholar.google.com/&output=cite&scirp=37&hl=en,111
Publication,"Human factors in project management: concepts, tools, and techniques for inspiring teamwork and motivation",['Z Wong'],,NA,"In Human Factors in Project Management, author Zachary Wong—a noted trainer and acclaimed leader of more than 250 project teams—provides a summary of"" people-based""",https://books.google.com/books?hl=en&lr=&id=H1thCwAAQBAJ&oi=fnd&pg=PR7&ots=pAvgiMZ7xc&sig=VmBEb0i4ymdwIdEGHMLX6fWgtVY,[''],/scholar?hl=en&q=info:krrGhE-EwlsJ:scholar.google.com/&output=cite&scirp=38&hl=en,115
Publication,Cohesion and satisfaction as mediators of the team trust–team effectiveness relationship: An interdependence theory perspective,"['PS DeOrtentiis', 'JK Summers', 'AP Ammeter']",,Career Development …,"Purpose–With extant research on the relationship between trust and effectiveness being inconclusive, the present study attempts to create a foundational investigation that examines",https://www.emerald.com/insight/content/doi/10.1108/CDI-03-2013-0035/full/html,"['XVh4rYIAAAAJ', 'g5MbSeMAAAAJ', 'WiKxe6YAAAAJ']",/scholar?hl=en&q=info:UxRPC7zHKCAJ:scholar.google.com/&output=cite&scirp=39&hl=en,110
Publication,The structure and function of team conflict state profiles,"[""TA O'Neill"", 'MJW McLarnon', 'GC Hoffart']",,Journal of …,"Team conflict types include task conflict, relationship conflict, and process conflict. Whereas differences in views about the task (task conflict) are often argued to be beneficial",https://journals.sagepub.com/doi/abs/10.1177/0149206315581662,"['nYMDbHgAAAAJ', 'kaJRX24AAAAJ', '']",/scholar?hl=en&q=info:0WjiSBywvi8J:scholar.google.com/&output=cite&scirp=40&hl=en,109
Publication,Group dynamics and team interventions: Understanding and improving team performance,['TM Franz'],,NA,Strong teams can be one of the greatest strengths of an organization—just as poor teams can spell disaster. Group Dynamics and Team Interventions brings research and practice,https://books.google.com/books?hl=en&lr=&id=K7EdXM7uCzsC&oi=fnd&pg=PP16&ots=5Hvj5GyJgA&sig=aLgNwBGR0NgPqLR2nWi1WEVvBHE,['vJtoiSEAAAAJ'],/scholar?hl=en&q=info:de2xC8ocFAMJ:scholar.google.com/&output=cite&scirp=41&hl=en,105
Publication,Tailoring an intervention to the context and system redesign related to the intervention: A case study of implementing shared medical appointments for …,"['SR Kirsh', 'RH Lawrence']",,…,"Incorporating shared medical appointments (SMAs) or group visits into clinical practice to improve care and increase efficiency has become a popular intervention, but the processes",https://implementationscience.biomedcentral.com/articles/10.1186/1748-5908-3-34,"['', '']",/scholar?hl=en&q=info:_yivKpLiuwUJ:scholar.google.com/&output=cite&scirp=42&hl=en,103
Publication,Leadership development: The failure of an industry and the opportunity for consulting psychologists.,"['RB Kaiser', 'G Curphy']",,Consulting Psychology Journal: Practice …,"Leadership training and development is big business; in the United States alone, it has doubled over the past 15 years to become a $14 billion industry. Consulting psychologists",https://psycnet.apa.org/record/2014-02645-007,"['9rzI2C0AAAAJ', '']",/scholar?hl=en&q=info:fynE4_Dr4iwJ:scholar.google.com/&output=cite&scirp=43&hl=en,105
Publication,Examination of the Effectiveness of Male and Female Educational Leaders Who Made Use of the Invitational Leadership Style of Leadership.,"['G Burns', 'BN Martin']",,Journal of Invitational Theory and Practice,The purpose of this inquiry was to examine the effectiveness of male and female educational leaders who made use of the invitational leadership style of leadership in their k-12 school,https://eric.ed.gov/?id=EJ942556,"['', '']",/scholar?hl=en&q=info:xsp72DCGJ84J:scholar.google.com/&output=cite&scirp=44&hl=en,103
Publication,Business excellence through sustainable change management,['MK Vora'],,The TQM Journal,Purpose–The purpose of the paper is to make a case for achieving business excellence through sustainable change management. Business excellence is defined through the,https://www.emerald.com/insight/content/doi/10.1108/TQM-07-2013-0080/full/html,[''],/scholar?hl=en&q=info:3VI3Fy_iyFIJ:scholar.google.com/&output=cite&scirp=45&hl=en,100
Publication,Contextualized language intervention: Scaffolding PreK-12 literacy achievement,['TA Ukrainetz'],,NA,Contextualized Language Intervention: Scaffolding PreK-12 Literacy Achievement TXTBK  Teresa A. Ukrainetz - TERESA UKRAINETZ : PRO-ED Inc. Official WebSite Site Logo Home,https://www.proedinc.com/Products/12955/contextualized-language-intervention-scaffolding.aspx,['Mi6SDZQAAAAJ'],/scholar?hl=en&q=info:3xFUB73TSg0J:scholar.google.com/&output=cite&scirp=46&hl=en,99
Publication,Becoming a literacy leader: Supporting learning and change,['J Allen'],,NA,"In this second edition of Becoming a Literacy Leader: Supporting Learning and Change, author Jennifer Allen reflects on her work as a literacy specialist and how the role has",https://books.google.com/books?hl=en&lr=&id=kl3LDAAAQBAJ&oi=fnd&pg=PP1&ots=kNLWCslNbJ&sig=JYyo8zJQiD6WS1vkO7VZx3obza0,[''],/scholar?hl=en&q=info:KRZbMH9GP_8J:scholar.google.com/&output=cite&scirp=47&hl=en,94
Publication,Leadership in professional learning communities,"['K Thornton', 'S Cherrington']",,Australasian journal of early …,"PROFESSIONAL LEARNING COMMUNITIES in the early childhood education sector have been under-researched. The focus on collaborative learning, collective enquiry and shared",https://journals.sagepub.com/doi/abs/10.1177/183693911403900312,"['JHM0uuMAAAAJ', 'CeXE60wAAAAJ']",/scholar?hl=en&q=info:tD08e_UPekwJ:scholar.google.com/&output=cite&scirp=48&hl=en,98
Publication,Are student groups dysfunctional? Perspectives from both sides of the classroom,"['KJ Chapman', 'ML Meuter', 'D Toy']",,Journal of Marketing …,"In today's business world, the ability to work efficiently and effectively in a team is mandatory to a business student's success. Many employers rank “ability to work with a group” as one",https://journals.sagepub.com/doi/abs/10.1177/0273475309335575,"['mnBrIbUAAAAJ', '', '']",/scholar?hl=en&q=info:tSraHuU3b3gJ:scholar.google.com/&output=cite&scirp=49&hl=en,99
Publication,"Executive coaching and consulting:"" Different strokes for different folks"".","['WH Berman', 'G Bradt']",,Professional psychology: research and …,Increasing frustration with the politics and economics of traditional mental health care has led many psychologists to consider shifting to or adding executive coaching as a core,https://psycnet.apa.org/record/2006-07098-003,"['PNOtGq8AAAAJ', '']",/scholar?hl=en&q=info:joesbIuAykwJ:scholar.google.com/&output=cite&scirp=50&hl=en,93
Publication,"Emotionally Intelligent Leadership: An Integrative, Process-Oriented Theory of Student Leadership.","['SJ Allen', 'ML Shankman', 'RF Miguel']",,Journal of Leadership …,"Emotionally intelligent leadership (EIL) theory combines relevant models, theories, and research in the areas of emotional intelligence (EI) and leadership. With an intentional focus",https://www.academia.edu/download/48466259/JOLE_11_1_Winter_2012.pdf#page=189,"['r09prggAAAAJ', '', 'ALcemoYAAAAJ']",/scholar?hl=en&q=info:OCQwTY6iSyUJ:scholar.google.com/&output=cite&scirp=51&hl=en,92
Publication,Project management the agile way: Making it work in the enterprise,['JC Goodpasture'],,NA,"Project Management the Agile Way was written for experienced project managers, architects and systems analysts who are comfortable in traditional methods of project management but",https://books.google.com/books?hl=en&lr=&id=3pBLla6Ypl8C&oi=fnd&pg=PR11&ots=YNCZzN3sBC&sig=1HcKWk2n04ORNq7gBqP9E1yv6xE,[''],/scholar?hl=en&q=info:55BjYrHmucAJ:scholar.google.com/&output=cite&scirp=52&hl=en,94
Publication,Assessing change: can organizational learning “work” for schools?,"['MS Austin', 'DA Harkins']",,The Learning Organization,"Purpose–The purpose of this paper is to measure the effectiveness and practical utility of an organizational learning intervention for an organization that was not progressive, was not",https://www.emerald.com/insight/content/doi/10.1108/09696470810852302/full/html,"['', 'RGPo35MAAAAJ']",/scholar?hl=en&q=info:dYjK-zs6-iMJ:scholar.google.com/&output=cite&scirp=53&hl=en,94
Publication,Scrum in action,"['A Pham', 'PV Pham']",,NA,SCRUM IN ACTION: AGILE SOFTWARE PROJECT MANAGEMENT AND DEVELOPMENT is a practical how-to guide for software project teams on how to successfully deploy an Agile,https://dl.acm.org/doi/abs/10.5555/1983547,"['', '']",/scholar?hl=en&q=info:C1sigmg4o_EJ:scholar.google.com/&output=cite&scirp=54&hl=en,88
Publication,Project troubleshooting: tiger teams for reactive risk management,['A Pavlak'],,Project Management Journal,"Large long-term projects with many stakeholders generally entail unforeseen risks and events that cannot, in principle, be predicted. Given the impracticality of pre-planning for",https://journals.sagepub.com/doi/abs/10.1177/875697280403500403,[''],/scholar?hl=en&q=info:Yn7KJfsd5Z4J:scholar.google.com/&output=cite&scirp=55&hl=en,87
Publication,Physician as hospital chief executive officer,"['RE Falcone', 'B Satiani']",,Vascular and endovascular surgery,"The vast majority of hospitals in the United States today are led by nonphysicians. This is in sharp contrast to the turn of the 20th century, when over a third of the hospitals in the United",https://journals.sagepub.com/doi/abs/10.1177/1538574407309320,"['', 'Y8lCQ0wAAAAJ']",/scholar?hl=en&q=info:AKMcSy7cPc8J:scholar.google.com/&output=cite&scirp=56&hl=en,87
Publication,Routledge handbook of social and sustainable finance,['OM Lehner'],,NA,"Routledge Handbook of Social and Sustainable Finance brings together an international cast of leading authorities to map out and display the disparate voices, traditions and",https://www.taylorfrancis.com/books/mono/10.4324/9781315772578/routledge-handbook-social-sustainable-finance-othmar-lehner,['--OKXnIAAAAJ'],/scholar?hl=en&q=info:ZuOBrwfVrmEJ:scholar.google.com/&output=cite&scirp=57&hl=en,88
Publication,Reinventing the academic health center,"['DG Kirch', 'RK Grigsby', 'WW Zolko', 'J Moskowitz']",,Academic …,"Academic health centers have faced well-documented internal and external challenges over the last decade, putting pressure on organizational leaders to develop new strategies to",https://journals.lww.com/academicmedicine/Fulltext/2005/11000/Reinventing_the_Academic_Health_Center.3.aspx,"['', '', '', '']",/scholar?hl=en&q=info:TzWz9RHjIxYJ:scholar.google.com/&output=cite&scirp=58&hl=en,81
Publication,Mindful leaders in highly effective schools: A mixed-method application of Hoy's M-scale,"['WS Kearney', 'C Kelsey']",,Educational Management …,This article presents a mixed-method study utilizing teacher ratings of principal mindfulness from 149 public schools in Texas and follow-up qualitative data analysis through semi,https://journals.sagepub.com/doi/abs/10.1177/1741143212474802,"['_Q_uaGUAAAAJ', '']",/scholar?hl=en&q=info:kA9ppOz-ocwJ:scholar.google.com/&output=cite&scirp=59&hl=en,85
Publication,Strategies and tools for managing change,['M MacPhee'],,JONA: The Journal of Nursing Administration,"Continuous change in complex healthcare environments is a challenge for nurse leaders, but it can also be a boon. Change can leverage the introduction of innovations that improve",https://journals.lww.com/jonajournal/fulltext/2007/09000/strategies_and_tools_for_managing_change.7.aspx,['EpFG0A4AAAAJ'],/scholar?hl=en&q=info:abYPMRlt30oJ:scholar.google.com/&output=cite&scirp=60&hl=en,83
Publication,Communicating for results,"['C Hamilton', 'C Parker']",,NA,,,"['', '']",/scholar?hl=en&q=info:snD0Sgf_t-MJ:scholar.google.com/&output=cite&scirp=61&hl=en,78
Publication,The Importance of Soft Skills for Job Success,['A Lazarus'],,Physician executive,"No one would argue that to be an effective manager, a physician needs a keen eye for details and numbers. Knowledge of accounting, finance and quantitative-based decision",https://www.physicianleaders.org/news/importance-soft-skills-for-job-success,['XyFgEU0AAAAJ'],/scholar?hl=en&q=info:u4PUCKOZPNIJ:scholar.google.com/&output=cite&scirp=62&hl=en,81
